"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
20,2,2002,"長野2区",88772,5494,2918,1283,303,71735,95,423,6365,681,2086
20,3,2003,"長野3区",89970,4524,2571,607,395,78479,67,223,2841,582,1550
20,4,2004,"長野4区",56746,4226,1507,411,278,48251,64,156,1765,378,734
20,5,2005,"長野5区",69178,3795,536,259,368,61849,89,233,951,519,1103
21,1,2101,"岐阜1区",82045,4467,5747,6099,389,57271,145,213,9887,728,2573
21,2,2102,"岐阜2区",71599,2848,3889,1068,414,59468,42,250,4839,404,1317
21,3,2103,"岐阜3区",98503,4359,6358,1657,556,80267,47,312,6522,629,2029
21,4,2104,"岐阜4区",80336,4715,2063,677,1487,67732,77,303,3382,610,1166
21,5,2105,"岐阜5区",65834,4133,4351,1348,854,54608,53,188,1497,559,981
22,1,2201,"静岡1区",95298,7715,6611,11650,347,45763,288,3922,23905,964,2176
22,2,2202,"静岡2区",95238,4084,5691,2057,629,76854,94,1144,7507,719,1399
22,3,2203,"静岡3区",95712,3562,3122,1147,999,82584,117,700,4028,692,1550
22,4,2204,"静岡4区",75128,5437,6309,2553,424,52318,92,1757,8409,630,1558
22,5,2205,"静岡5区",103383,6736,5894,2420,1092,82909,141,1211,5433,728,808
22,6,2206,"静岡6区",92596,9897,5929,4494,1079,64553,237,1604,6864,933,1370
22,7,2207,"静岡7区",76934,3386,2769,1667,446,64985,69,771,3754,498,788
22,8,2208,"静岡8区",95645,6654,3968,5867,630,70301,243,1334,8985,733,1044
23,1,2301,"愛知1区",92342,10390,34435,8766,537,19171,611,361,27222,828,2634
23,2,2302,"愛知2区",94211,8725,33713,11513,681,32170,214,633,17070,757,2596
23,3,2303,"愛知3区",96881,8559,30893,9280,547,40536,148,1021,14829,731,2388
23,4,2304,"愛知4区",83897,7832,26245,8001,533,27184,167,511,20250,678,2037
23,5,2305,"愛知5区",80468,5969,26641,7416,470,27414,134,413,20047,665,2377
23,6,2306,"愛知6区",83884,5544,15372,3523,810,52735,85,679,10749,587,2004
23,7,2307,"愛知7区",85118,5652,16879,3619,692,53100,59,1054,9791,610,1944
23,8,2308,"愛知8区",103204,5318,14774,1446,1151,75384,91,1040,7277,747,2223
23,9,2309,"愛知9区",91785,3959,17425,2760,675,58532,59,683,13943,680,2161
23,10,2310,"愛知10区",80795,3699,14278,2962,574,50353,49,445,13851,586,2262
23,11,2311,"愛知11区",91257,5817,7228,2064,1420,70047,86,721,5122,649,2481
23,12,2312,"愛知12区",108072,5938,9200,2962,1341,81329,76,850,9037,868,2730
23,13,2313,"愛知13区",99838,6142,12116,1234,1329,69003,77,689,12405,660,2525
