"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
12,11,1211,"千葉11区",45993,16919,9344,9823,2016,7662,220,9,14456,1771,5152,1761,5772,0
12,12,1212,"千葉12区",50876,20537,10855,11573,2405,5251,243,12,19355,4090,5571,1489,8205,0
12,13,1213,"千葉13区",68413,26078,13554,13443,2597,12188,536,17,24076,5285,6608,1205,10977,1
12,14,1214,"千葉14区",72136,25549,12995,13155,2446,17024,955,12,24531,5201,7205,1517,10608,0
13,1,1301,"東京1区",42521,13864,6087,6012,1421,13061,2065,11,18494,1879,4825,1337,10453,0
13,2,1302,"東京2区",35761,14733,6060,5606,833,7448,1073,8,21670,2658,7338,606,11068,0
13,3,1303,"東京3区",45611,18496,8110,7607,1205,9138,1045,10,24518,3088,10125,252,11053,0
13,4,1304,"東京4区",51780,19397,9457,9614,2470,10189,645,8,23404,3793,8432,42,11137,0
13,5,1305,"東京5区",58722,21477,9783,9358,945,15794,1302,63,23707,3733,6974,435,12565,0
13,6,1306,"東京6区",67281,22688,10789,10651,1392,20136,1481,144,23938,4104,7445,273,12116,0
13,7,1307,"東京7区",49795,20613,8423,7643,925,10810,1373,8,29017,3281,8109,791,16836,0
