"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
22,4,2204,"静岡4区",101967,69368,10552,58816,30351,10071,18285,1593,402,2248
22,5,2205,"静岡5区",149128,91445,13051,78394,56823,0,50860,5696,267,860
22,6,2206,"静岡6区",123073,73764,16287,57477,47818,0,42665,4716,437,1491
22,7,2207,"静岡7区",109870,56432,12793,43639,52610,32473,14986,4925,226,828
22,8,2208,"静岡8区",132445,67635,11837,55798,63847,42596,18355,2619,277,963
23,1,2301,"愛知1区",122219,44881,10986,33895,73690,46076,23171,3194,1249,3648
23,2,2302,"愛知2区",124606,35791,9017,26774,85714,54266,26373,3708,1367,3101
23,3,2303,"愛知3区",130838,34590,9122,25468,92901,52521,36598,2535,1247,3347
23,4,2304,"愛知4区",113522,41274,8763,32511,69206,43701,22076,2296,1133,3042
23,5,2305,"愛知5区",107661,37018,8904,28114,67147,34038,28471,3370,1268,3496
23,6,2306,"愛知6区",114410,47457,8153,39304,64114,0,58694,4399,1021,2839
23,7,2307,"愛知7区",118225,32366,7856,24510,83758,0,80656,2024,1078,2101
23,8,2308,"愛知8区",147671,59661,10948,48713,85221,0,82831,1357,1033,2789
23,9,2309,"愛知9区",125958,40933,12329,28604,82185,0,73743,6924,1518,2840
23,10,2310,"愛知10区",106547,41788,9267,32521,61696,0,51362,9142,1192,3063
23,11,2311,"愛知11区",142196,99173,8463,90710,39103,0,37081,1216,806,3920
23,12,2312,"愛知12区",159023,88211,12701,75510,66866,0,64551,1222,1093,3946
23,13,2313,"愛知13区",153888,63674,10299,53375,86445,0,84165,1255,1025,3769
23,14,2314,"愛知14区",103587,56692,10439,46253,45149,0,42338,2179,632,1746
23,15,2315,"愛知15区",124195,84905,15777,69128,36011,0,27929,7368,714,3279
23,16,2316,"愛知16区",129184,47734,9111,38623,78333,0,68551,8415,1367,3117
24,1,2401,"三重1区",111180,73343,9491,63852,34605,0,30734,3064,807,3232
24,2,2402,"三重2区",132347,82482,10691,71791,45967,0,36185,8694,1088,3898
24,3,2403,"三重3区",136741,72480,9780,62700,59934,0,40416,18336,1182,4327
24,4,2404,"三重4区",84351,50760,11258,39502,31521,0,28288,2348,885,2070
25,1,2501,"滋賀1区",94946,46966,8123,38843,45653,0,18898,25804,951,2327
25,2,2502,"滋賀2区",145707,77488,13330,64158,64870,0,56653,7022,1195,3349
25,3,2503,"滋賀3区",128907,55813,9351,46462,70332,0,53616,15661,1055,2762
26,1,2601,"京都1区",106039,44380,13650,30730,57910,37602,6131,13101,1076,3749
26,2,2602,"京都2区",68181,29700,8338,21362,36009,22328,3064,9731,886,2472
26,3,2603,"京都3区",96226,32779,7960,24819,60651,15204,26532,17857,1058,2796
26,4,2604,"京都4区",107438,43631,11965,31666,60507,29162,18852,11188,1305,3300
26,5,2605,"京都5区",75442,57490,10253,47237,16269,0,12203,3674,392,1683
26,6,2606,"京都6区",129315,40985,10927,30058,84948,0,50518,32613,1817,3382
27,1,2701,"大阪1区",106534,38422,10513,27909,63713,42979,13484,6073,1177,4399
27,2,2702,"大阪2区",108939,33955,10539,23416,70075,41713,21100,5375,1887,4909
27,3,2703,"大阪3区",84116,28039,6632,21407,51454,32869,13168,3752,1665,4623
27,4,2704,"大阪4区",107073,33411,8854,24557,69645,43565,16597,8250,1233,4017
27,5,2705,"大阪5区",113938,37226,8153,29073,71736,39219,19032,11760,1725,4976
27,6,2706,"大阪6区",103809,30288,8444,21844,68717,16731,43713,6072,2201,4804
