"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
11,14,1114,"埼玉14区",218476,11667,92521,17349,2294,56681,255,7288,60163,3717,8221
11,15,1115,"埼玉15区",238167,14348,128830,21915,2478,35825,331,5798,64761,3046,8198
11,16,1116,"埼玉16区",200196,8445,74248,12261,2778,81532,190,5004,40672,3148,6342
12,1,1201,"千葉1区",232606,17987,111162,33293,3764,58829,450,4547,43106,3551,6533
12,2,1202,"千葉2区",173102,9909,81554,20395,3390,50253,243,4426,27752,2289,5596
12,3,1203,"千葉3区",182856,8130,51443,13672,4688,102983,203,3563,19115,2937,6472
12,4,1204,"千葉4区",229549,13093,140826,22938,3516,36242,397,6909,45878,2770,7369
12,5,1205,"千葉5区",246658,13787,157991,30430,3323,25892,699,4503,51358,2749,8881
12,6,1206,"千葉6区",227005,14060,132789,21550,3116,44006,324,5808,39152,2917,7704
12,7,1207,"千葉7区",159299,7171,70661,7452,2550,60031,157,2750,26090,2047,4957
12,8,1208,"千葉8区",190599,11956,93788,22323,3205,54455,287,4434,35586,2366,5198
12,9,1209,"千葉9区",210290,10969,69819,18374,3173,102334,334,4819,23448,3969,6355
12,10,1210,"千葉10区",178614,8985,24704,7200,3215,126428,338,2129,12859,2052,5302
12,11,1211,"千葉11区",179199,6722,27967,4560,1899,130455,95,3168,14611,2462,4566
12,12,1212,"千葉12区",201933,10868,23143,9265,6530,144084,183,3248,14409,3390,6249
12,13,1213,"千葉13区",222416,10956,93856,12202,3884,92600,242,4702,28198,2720,6134
12,14,1214,"千葉14区",232329,15180,128705,24799,4566,48406,378,6647,41771,2686,6933
13,1,1301,"東京1区",145261,25555,91736,8094,639,5514,2356,1068,14898,1464,7792
13,2,1302,"東京2区",157775,21276,98978,13266,876,5940,2901,1326,23202,1646,7450
