"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
12,7,1207,"千葉7区",177861,124319,34176,33299,11347,0,0,6870,15082,877,159,19207
12,8,1208,"千葉8区",215644,147432,40004,38844,15263,0,0,8459,15122,1160,91,28117
12,9,1209,"千葉9区",240833,182229,36683,35701,16949,4836,2075,11372,7380,982,79,21842
12,10,1210,"千葉10区",200068,159592,29964,28315,13360,0,0,7597,7358,1649,86,10426
12,11,1211,"千葉11区",207694,168294,27545,26787,10692,0,0,10399,5696,758,64,11791
12,12,1212,"千葉12区",223255,171042,37107,36102,16801,0,0,11280,8021,1005,91,15015
12,13,1213,"千葉13区",252144,184725,40967,39727,12520,0,0,14694,12513,1240,110,26342
12,14,1214,"千葉14区",250121,176475,47402,45943,18635,0,0,12767,14541,1459,89,26155
13,1,1301,"東京1区",207606,87766,41700,38394,22676,10538,12138,2244,13474,3306,83,78057
13,2,1302,"東京2区",191106,92253,47767,45139,28214,13024,15190,1501,15424,2628,80,51006
13,3,1303,"東京3区",225350,123462,53729,51395,29898,15729,13211,2661,18836,2334,66,48093
13,4,1304,"東京4区",253593,143094,56026,54014,29874,21264,8610,1709,22431,2012,65,54408
13,5,1305,"東京5区",243131,126660,50959,47758,28837,17850,10987,1855,17066,3201,85,65427
13,6,1306,"東京6区",254942,134701,56872,53717,30757,20442,10315,4543,18417,3155,84,63285
13,7,1307,"東京7区",263052,112217,52065,48006,31653,15661,15992,2212,14141,4059,720,98050
13,8,1308,"東京8区",246424,131471,54688,51995,29491,18296,11195,5324,17180,2693,62,60203
13,9,1309,"東京9区",192042,111973,37554,36082,21712,14851,6861,3169,11201,1472,49,42466
13,10,1310,"東京10区",275165,134660,61870,57291,32759,15084,17675,2534,21998,4579,75,78560
13,11,1311,"東京11区",244338,130889,48888,46825,27467,16147,11320,1684,17674,2063,95,64466
13,12,1312,"東京12区",232890,128593,47994,45709,27249,15945,11304,1604,16856,2285,84,56219
13,13,1313,"東京13区",234482,132244,39387,38109,24460,16830,7630,966,12683,1278,85,62766
13,14,1314,"東京14区",241246,141120,48597,46409,28285,16140,12145,1487,16637,2188,46,51483
13,15,1315,"東京15区",266295,153382,53920,50644,30861,17347,13514,1713,18070,3276,78,58915
13,16,1316,"東京16区",242657,142615,48063,45928,28203,21532,6671,1161,16564,2135,66,51913
13,17,1317,"東京17区",227335,140152,40381,38850,24833,15956,8877,1037,12980,1531,78,46724
13,18,1318,"東京18区",248992,153997,55093,52542,14690,0,0,20771,17081,2551,102,39800
