"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
11,3,1103,"埼玉3区",109349,3083,52736,7640,1260,37446,140,4820,16858,2641,3255
11,4,1104,"埼玉4区",110428,6324,59848,11773,1225,26015,175,6237,18477,2366,3004
11,5,1105,"埼玉5区",108488,6958,59028,10193,1504,26928,216,3496,16365,2388,2732
11,6,1106,"埼玉6区",118061,3881,45166,7326,1398,53196,107,4178,19124,2617,2590
11,7,1107,"埼玉7区",104293,3911,42196,5668,1650,43361,137,4942,15258,2038,2651
11,8,1108,"埼玉8区",110573,5235,55248,6899,1607,35746,142,5033,15794,2025,2550
11,9,1109,"埼玉9区",111892,6024,32068,6762,1246,60459,137,5824,11830,1866,2005
11,10,1110,"埼玉10区",91014,3084,21307,3641,1536,57903,65,3019,7911,1599,2078
11,11,1111,"埼玉11区",96044,3597,8929,758,941,75671,50,1972,6649,1540,2089
11,12,1112,"埼玉12区",106718,4294,18248,2887,1249,75175,63,2297,9504,1851,2455
11,13,1113,"埼玉13区",105684,2633,37172,4569,1487,54960,104,3380,12442,2077,2746
11,14,1114,"埼玉14区",113531,4532,48193,7745,1123,36922,131,6153,22033,2996,4140
11,15,1115,"埼玉15区",120967,5103,70040,10498,1132,24325,207,4742,23049,2412,3804
11,16,1116,"埼玉16区",102270,3004,37960,5736,1153,47620,94,4146,13792,2456,3054
12,1,1201,"千葉1区",115551,5984,57822,14344,1918,36392,277,3680,14955,2454,2904
12,2,1202,"千葉2区",86348,2817,42627,8825,1360,29286,133,3479,9512,1756,2489
12,3,1203,"千葉3区",95577,2572,24267,6331,2428,58397,132,2901,7783,2262,3361
12,4,1204,"千葉4区",116430,4083,74347,10957,1697,23920,274,5325,16170,2166,3443
12,5,1205,"千葉5区",124525,4507,83179,13289,1522,18984,475,3765,18001,2100,4444
12,6,1206,"千葉6区",114776,4626,69828,9858,1349,27403,196,4554,13013,2283,3596
12,7,1207,"千葉7区",81311,2269,37699,3324,1078,33099,96,2274,9556,1580,2237
12,8,1208,"千葉8区",96574,4342,51312,10870,1352,30230,170,3478,12977,1775,2302
12,9,1209,"千葉9区",107064,3696,34672,7861,1578,57541,224,3892,8081,2741,2985
12,10,1210,"千葉10区",88757,3623,9301,2542,1498,68333,135,1539,4120,1226,2483
12,11,1211,"千葉11区",89510,2958,12038,1782,714,69552,53,1945,4566,1676,2019
12,12,1212,"千葉12区",104966,4268,9485,4660,3628,79102,109,2540,5230,2409,3173
12,13,1213,"千葉13区",111954,3166,49952,5410,1532,50286,156,3713,9399,2014,2624
12,14,1214,"千葉14区",117078,4790,67747,11792,1866,30047,252,5209,14183,2054,3087
13,1,1301,"東京1区",71367,12046,44816,3516,317,4141,1451,941,7165,908,3511
13,2,1302,"東京2区",79715,10887,49377,6143,450,4636,1677,1221,11089,1012,3612
13,3,1303,"東京3区",100373,10948,63719,5172,836,10863,999,3023,10306,1394,3440
13,4,1304,"東京4区",119456,8545,71498,8784,1608,10659,727,4466,23196,1790,5524
13,5,1305,"東京5区",84378,5531,57603,9103,434,9652,1280,2090,9584,1125,2664
13,6,1306,"東京6区",92166,4651,64234,7733,534,10050,795,2590,13956,1341,2851
