"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
13,3,1303,"東京3区",211660,6330,53370,60975,28966,20728,2890,1671,9799,4125,4872,10891,7043
13,4,1304,"東京4区",240655,4864,48286,61448,33737,25557,3228,295,19141,7754,7086,18250,11009
13,5,1305,"東京5区",189805,8213,53119,55206,28052,17661,2395,424,6738,2350,2739,6505,6403
13,6,1306,"東京6区",203557,6825,55543,58111,30012,20518,2186,739,7750,3123,4038,7900,6812
13,7,1307,"東京7区",185936,12829,55305,53289,25179,15774,2344,116,5036,1606,1767,5231,7460
13,8,1308,"東京8区",201414,6373,56700,60426,29158,18844,2573,381,7954,2462,3388,7393,5762
13,9,1309,"東京9区",153152,3804,36653,39884,22349,17247,2175,725,8169,3769,5418,8091,4868
13,10,1310,"東京10区",225437,8142,68118,70317,26481,19620,2573,194,8602,2357,3262,8614,7157
13,11,1311,"東京11区",195196,4097,44696,51730,27687,21599,2831,273,12040,4866,6111,11350,7916
13,12,1312,"東京12区",191376,3639,42733,52314,25908,19959,3791,155,11819,5110,5099,12739,8110
13,13,1313,"東京13区",186784,3424,34091,44186,26308,22554,3252,276,15058,7511,7815,14300,8009
13,14,1314,"東京14区",219007,5104,45402,56849,33143,24194,3133,252,16554,5697,6668,14190,7821
13,15,1315,"東京15区",235716,6174,52279,70293,34205,21261,3071,177,12603,6200,5161,14832,9460
13,16,1316,"東京16区",214781,3967,37310,53438,31694,23509,2680,532,16377,9470,9384,17518,8902
13,17,1317,"東京17区",196619,3668,36464,48496,28019,23426,3721,430,16820,6861,7396,14280,7038
13,18,1318,"東京18区",206709,4996,54891,57710,28942,22162,3435,1087,10514,3251,4753,9348,5620
13,19,1319,"東京19区",168246,3434,45687,42470,22637,18720,3524,1251,10158,2835,4444,8306,4780
13,20,1320,"東京20区",206234,3459,40562,45100,26442,26073,4904,2112,18044,6977,10029,15749,6783
13,21,1321,"東京21区",204292,3416,48563,47460,26778,24429,5837,1413,15595,5215,6187,13540,5859
13,22,1322,"東京22区",223137,5109,58547,60327,30552,24325,3066,1506,11386,4393,6125,11207,6594
13,23,1323,"東京23区",182372,3760,41984,40096,25504,22731,3224,1424,13778,5253,6768,11660,6190
13,24,1324,"東京24区",189360,3454,39442,39139,23583,25270,3553,1386,19559,6135,7810,14186,5843
13,25,1325,"東京25区",214962,3481,36974,40885,24169,29135,5111,2478,28861,7957,9456,18995,7460
13,26,1326,"東京26区",223859,9158,60854,65788,31839,20010,2893,354,9953,3065,3602,8767,7576
13,27,1327,"東京27区",191113,4898,51623,55098,27625,20092,2570,226,7967,2821,3941,8657,5595
13,28,1328,"東京28区",168578,3639,42283,47712,23933,17231,4120,386,7763,3217,4761,8131,5402
13,29,1329,"東京29区",183169,3836,34391,43381,25550,21421,2761,371,15631,6399,7460,13696,8272
13,30,1330,"東京30区",222775,4094,54638,54277,29191,25459,5434,1556,14890,5407,7470,13566,6793
14,1,1401,"神奈川1区",224172,5583,49070,53338,29909,26340,4702,676,18352,7643,6181,15193,7185
14,2,1402,"神奈川2区",229534,4749,52237,56073,31578,27111,4421,496,16045,6755,8127,14817,7125
14,3,1403,"神奈川3区",250922,4776,56061,60722,34602,26509,3266,828,21686,7938,9963,16626,7945
14,4,1404,"神奈川4区",164336,4546,40787,38121,23035,20362,3016,1075,12284,3798,4422,8524,4366
14,5,1405,"神奈川5区",196021,3496,44198,45784,27388,22681,3229,1399,16578,5866,7835,12026,5541
14,6,1406,"神奈川6区",196075,3533,41576,45428,26812,24648,3748,839,15148,6851,8706,13316,5470
14,7,1407,"神奈川7区",167663,3658,44681,45213,25802,15610,1646,742,11320,3027,4339,7543,4082
14,8,1408,"神奈川8区",222575,5711,55695,56445,34761,24224,2517,1227,14300,4740,6229,11163,5563
14,9,1409,"神奈川9区",179902,3436,48523,45515,24981,20069,2226,1079,11258,3643,5504,8844,4824
