"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
26,3,2603,"京都3区",174717,159583,363,14614,49347,10502,44277,6685,33795,15036,91,7
26,4,2604,"京都4区",192156,174112,574,16118,55666,12297,46379,5982,37096,17904,136,4
26,5,2605,"京都5区",117400,110453,750,13651,51786,9141,22081,1655,11389,6868,77,2
26,6,2606,"京都6区",225834,204438,609,18165,69417,14470,61224,7528,33025,21236,154,6
27,1,2701,"大阪1区",215064,202173,388,11688,42448,10798,52942,7061,76848,12652,224,15
27,2,2702,"大阪2区",221069,204357,674,20907,60209,10699,44197,4500,63171,16434,249,29
27,3,2703,"大阪3区",188812,176754,698,22341,53167,8587,30230,2597,59134,11756,293,9
27,4,2704,"大阪4区",200139,187699,299,12156,45625,11169,53787,7540,57123,12241,192,7
27,5,2705,"大阪5区",221466,206885,489,19271,58498,12963,45193,5473,64998,14321,256,4
27,6,2706,"大阪6区",192080,178055,524,22217,57476,10772,36443,3723,46900,13835,188,2
27,7,2707,"大阪7区",187420,169188,280,10690,45804,11205,61394,9149,30666,18172,58,2
27,8,2708,"大阪8区",202630,183315,336,12544,48152,11840,65304,10310,34829,19152,161,2
27,9,2709,"大阪9区",180319,161273,261,10613,47557,11533,57482,9428,24399,18885,137,24
27,10,2710,"大阪10区",154220,140776,277,10666,43593,10082,45791,6988,23379,13247,195,2
27,11,2711,"大阪11区",181046,164438,354,14121,55079,12323,51680,6144,24737,16422,182,4
27,12,2712,"大阪12区",166134,151956,379,19298,54045,10106,34032,2837,31259,14076,95,7
27,13,2713,"大阪13区",201135,183913,526,21289,59330,10161,38324,2558,51725,16882,159,181
27,14,2714,"大阪14区",205335,187803,605,21688,67879,12267,47599,3412,34353,17410,115,7
27,15,2715,"大阪15区",186300,170394,624,17567,61878,11578,46099,3244,29404,15700,205,1
27,16,2716,"大阪16区",158728,146024,486,15114,47761,9634,40174,4801,28054,12504,196,4
27,17,2717,"大阪17区",157700,144377,515,15654,50959,9967,36448,3308,27526,13144,177,2
27,18,2718,"大阪18区",211029,192523,686,21229,69781,13026,44206,3545,40050,18377,128,1
27,19,2719,"大阪19区",148913,135947,615,18222,52246,10228,30333,2259,22044,12866,99,1
28,1,2801,"兵庫1区",181893,164380,325,9917,39548,9268,60837,11574,32911,17367,146,0
28,2,2802,"兵庫2区",180270,167105,596,17430,58891,10664,45102,5513,28909,12941,220,4
28,3,2803,"兵庫3区",141885,131092,297,10824,43112,8012,40674,6355,21818,10657,134,2
28,4,2804,"兵庫4区",206237,190236,965,21548,78261,12091,48889,6026,22456,15852,137,12
28,5,2805,"兵庫5区",184245,171259,1171,17941,73351,12979,46467,4583,14767,12802,183,1
28,6,2806,"兵庫6区",210547,193124,447,13489,56611,13006,65313,8888,35370,17277,143,3
28,7,2807,"兵庫7区",205841,185345,282,8745,42913,10708,76400,12182,34115,20378,117,1
28,8,2808,"兵庫8区",172421,160861,497,18952,53194,10707,40787,4926,31798,11331,193,36
28,9,2809,"兵庫9区",175450,163633,1014,20394,60158,10562,39406,5204,26895,11661,154,2
28,10,2810,"兵庫10区",171702,159698,576,19832,67072,10157,36179,4916,20966,11843,159,2
28,11,2811,"兵庫11区",197751,183529,801,22045,73573,11469,45680,6288,23673,14086,134,2
28,12,2812,"兵庫12区",136911,127936,941,19774,61785,8232,26875,2496,7833,8865,110,0
29,1,2901,"奈良1区",184842,168055,388,9222,48390,10746,67537,8758,23014,16718,67,2
29,2,2902,"奈良2区",183673,167072,702,14335,61426,12175,53763,4647,20024,16483,116,2
29,3,2903,"奈良3区",167071,155002,1001,19262,63795,10134,41321,2754,16735,11935,133,1
30,1,3001,"和歌山1区",190627,177291,851,20751,69535,12883,41063,4402,27806,13229,104,3
30,2,3002,"和歌山2区",185842,175205,1528,30275,82001,13212,33556,1992,12641,10529,108,0
31,1,3101,"鳥取1区",113193,104445,684,12746,47253,7279,22820,2540,11123,8614,134,0
31,2,3102,"鳥取2区",111706,105274,531,11767,52831,8070,21144,2070,8861,6357,73,2
32,1,3201,"島根1区",128435,119039,705,18504,51339,8885,24615,2677,12314,9317,79,0
32,2,3202,"島根2区",148684,139826,1175,24116,64482,10363,26595,2326,10769,8689,167,2
33,1,3301,"岡山1区",167269,150104,542,13614,58710,10355,43751,6088,17044,17102,60,3
33,2,3302,"岡山2区",203151,189007,617,19529,77448,13412,46605,4999,26397,14047,96,1
33,3,3303,"岡山3区",201055,188547,1233,24629,94949,12667,36079,2722,16268,12355,153,0
33,4,3304,"岡山4区",182346,169952,585,20495,75864,11541,37602,4997,18868,12244,137,13
34,1,3401,"広島1区",201583,188022,415,13300,59822,14360,62881,7857,29387,13447,112,2
34,2,3402,"広島2区",185987,171959,417,11948,60099,14886,58260,6070,20279,13880,146,2
34,3,3403,"広島3区",208946,192313,543,16967,71457,16907,55889,4746,25804,16463,170,0
34,4,3404,"広島4区",207174,187930,950,20525,80884,14213,46548,5894,18916,19013,229,2
34,5,3405,"広島5区",153763,145043,946,17554,65906,12918,32961,2505,12253,8532,188,0
34,6,3406,"広島6区",188559,175911,512,16268,68080,14641,44203,4114,28093,12411,234,3
35,1,3501,"山口1区",191727,176596,621,17764,82799,12759,43454,5658,13541,15047,83,1
35,2,3502,"山口2区",186066,176515,854,21003,86206,11254,36461,4311,16426,9424,126,1
35,3,3503,"山口3区",169813,159316,809,21354,78630,10627,33143,2665,12088,10397,99,1
36,1,3601,"徳島1区",164626,152304,1050,21237,64378,12389,35849,5423,11978,12205,114,3
36,2,3602,"徳島2区",123654,116868,906,20097,51405,8629,21408,2655,11768,6642,143,1
37,1,3701,"香川1区",147728,137451,538,13439,47769,11328,42779,4359,17239,10202,67,8
37,2,3702,"香川2区",123636,115885,710,14991,51946,9545,25530,2133,11030,7701,50,0
