"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
7,4,704,"福島4区",197013,187167,2802,30031,96939,26299,13147,555,17394,9681,163,2
8,1,801,"茨城1区",222793,209222,2316,25562,95785,37786,24539,1383,21851,13441,128,2
8,2,802,"茨城2区",157219,148776,2745,28685,71450,20473,10081,528,14814,8255,186,2
8,3,803,"茨城3区",203815,190314,1874,20730,79791,37559,25047,1818,23495,13363,134,4
8,4,804,"茨城4区",138703,130816,1844,18387,61098,22196,13218,674,13399,7752,135,0
8,5,805,"茨城5区",124414,117128,1616,18155,56795,19117,10881,726,9838,7188,98,0
8,6,806,"茨城6区",227312,208666,2166,23521,80091,40549,34134,5096,23109,18412,232,2
8,7,807,"茨城7区",173607,163139,2769,32461,72593,24166,12059,579,18512,10309,153,6
9,1,901,"栃木1区",213721,200085,1161,17601,76877,38684,26546,1898,37318,13522,110,4
9,2,902,"栃木2区",132393,125101,1705,19410,60124,22319,11279,545,9719,7112,179,1
9,3,903,"栃木3区",125112,117314,1571,20259,51850,18522,10207,668,14237,7673,123,2
9,4,904,"栃木4区",185013,172324,2042,25486,76031,32059,19278,1213,16215,12378,311,0
9,5,905,"栃木5区",186269,175400,2717,31047,80989,32649,15152,657,12189,10634,232,3
10,1,1001,"群馬1区",179271,167384,2545,23290,72233,33358,21305,1366,13287,11752,133,2
10,2,1002,"群馬2区",177783,165979,1954,24018,72269,31742,15675,781,19540,11543,252,9
10,3,1003,"群馬3区",170247,158874,1850,22305,68472,32921,15508,765,17053,11191,179,3
10,4,1004,"群馬4区",157227,146048,1508,15663,61574,30757,19440,1281,15825,10993,185,1
10,5,1005,"群馬5区",167568,158275,2812,26030,71400,28876,13753,647,14757,9044,248,1
11,1,1101,"埼玉1区",199094,184340,860,10301,57060,41196,40918,2448,31557,14638,112,4
11,2,1102,"埼玉2区",205460,191586,1132,18887,67019,37733,29809,1844,35162,13580,283,11
11,3,1103,"埼玉3区",201658,187001,1178,18421,68636,37757,27569,1351,32089,14475,178,4
11,4,1104,"埼玉4区",200808,185729,807,13016,60245,39950,34672,2354,34685,14932,143,4
11,5,1105,"埼玉5区",202396,187776,1012,11378,60234,41811,39443,2477,31421,14460,151,9
11,6,1106,"埼玉6区",212560,198395,1551,19838,80786,44621,27965,1225,22409,14053,110,2
11,7,1107,"埼玉7区",187122,173993,957,16216,66889,38281,27479,1513,22658,12974,151,4
11,8,1108,"埼玉8区",202619,188131,1010,15334,70876,44099,33601,2011,21200,14277,196,15
11,9,1109,"埼玉9区",212635,198219,1607,23508,85608,41206,23325,1094,21871,14305,109,2
11,10,1110,"埼玉10区",172211,159624,1401,19321,65450,32903,18801,972,20776,12308,276,3
11,11,1111,"埼玉11区",179060,168045,2623,28161,76003,31219,13885,610,15544,10866,146,3
11,12,1112,"埼玉12区",193502,181340,2514,25549,78097,35256,18849,817,20258,11980,182,0
11,13,1113,"埼玉13区",193581,181440,1775,21568,76008,37191,23053,1108,20737,11969,170,2
11,14,1114,"埼玉14区",208832,195100,1243,22058,70402,34166,24520,1301,41410,13538,187,7
11,15,1115,"埼玉15区",213307,196905,935,13123,60905,42528,39335,2470,37609,16267,125,10
11,16,1116,"埼玉16区",188297,176164,1389,22018,73173,33905,19973,889,24817,12010,122,1
12,1,1201,"千葉1区",219596,202233,819,13196,68334,45755,38465,3070,32594,17224,128,11
12,2,1202,"千葉2区",167384,154596,756,11447,53757,34384,25696,1361,27195,12543,233,12
12,3,1203,"千葉3区",170753,158672,1354,16490,61794,31269,18368,1118,28279,11852,225,4
12,4,1204,"千葉4区",211344,196161,922,13111,62612,45455,39705,2401,31955,15075,101,7
12,5,1205,"千葉5区",215091,198780,646,9626,53797,45751,49686,3323,35951,16213,92,6
12,6,1206,"千葉6区",220153,204941,998,15367,69569,44169,34670,2065,38103,15029,169,14
12,7,1207,"千葉7区",151244,141335,972,13892,50043,29532,23015,1789,22092,9831,75,3
12,8,1208,"千葉8区",184831,172167,848,12244,59076,39396,30901,1944,27758,12585,77,2
12,9,1209,"千葉9区",211505,198205,1266,18131,80184,41910,25863,1192,29659,13147,146,7
12,10,1210,"千葉10区",177572,167346,3726,29538,75916,27650,14437,657,15422,9961,263,2
12,11,1211,"千葉11区",187163,176951,2880,27942,87345,29440,14450,641,14253,10004,206,2
